変換前　　　　　　　　変換後

ff00: ＀
ff92: ﾒ　　　→　　　30e1:　メ
ff93: ﾓ　　　→　　　30e2:　モ
ff94: ﾔ　　　→　　　30e4:　ヤ
ff95: ﾕ　　　→　　　30e6:　ユ
ff96: ﾖ　　　→　　　30e8:　ヨ
ff97: ﾗ　　　→　　　30e9:　ラ
ff98: ﾘ　　　→　　　30ea:　リ
ff99: ﾙ　　　→　　　30eb:　ル
ff9a: ﾚ　　　→　　　30ec:　レ
ff9b: ﾛ　　　→　　　30ed:　ロ
ff9c: ﾜ　　　→　　　30ef:　ワ
ff9d: ﾝ　　　→　　　30f3:　ン
ff9e: ﾞ
ff9f: ﾟ
ffa0: ﾠ
ffa1: ﾡ
ffa2: ﾢ
ffa3: ﾣ
ffa4: ﾤ
ffa5: ﾥ
ffa6: ﾦ
ffa7: ﾧ
ffa8: ﾨ
ffa9: ﾩ
ffaa: ﾪ
ffab: ﾫ
ffac: ﾬ
ffad: ﾭ
ffae: ﾮ
ffaf: ﾯ
ffb0: ﾰ
ffb1: ﾱ
ffb2: ﾲ
ffb3: ﾳ
ffb4: ﾴ
ffb5: ﾵ
ffb6: ﾶ
ffb7: ﾷ
ffb8: ﾸ
ffb9: ﾹ
ffba: ﾺ
ffbb: ﾻ
ffbc: ﾼ
ffbd: ﾽ
ffbe: ﾾ
ffbf: ﾿
ffc0: ￀
ffc1: ￁
ffc2: ￂ
ffc3: ￃ
ffc4: ￄ
ffc5: ￅ
ffc6: ￆ
ffc7: ￇ
ffc8: ￈
ffc9: ￉
ffca: ￊ
ffcb: ￋ
ffcc: ￌ
ffcd: ￍ
ffce: ￎ
ffcf: ￏ
ffd0: ￐
ffd1: ￑
ffd2: ￒ
ffd3: ￓ
ffd4: ￔ
ffd5: ￕ
ffd6: ￖ
ffd7: ￗ
ffd8: ￘
ffd9: ￙
ffda: ￚ
ffdb: ￛ
ffdc: ￜ
ffdd: ￝
ffde: ￞
ffdf: ￟
ffe0: ￠
ffe1: ￡
ffe2: ￢
ffe3: ￣
ffe4: ￤
ffe5: ￥　　　→　　　00a5:　¥
ffe6: ￦
ffe7: ￧
ffe8: ￨　　　→　　　007c:　|
ffe9: ￩　　　→　　　2190:　←
ffea: ￪　　　→　　　2191:　↑
ffeb: ￫　　　→　　　2192:　→
ffec: ￬　　　→　　　2193:　↓
ffed: ￭　　　→　　　25fc:　◼
ffee: ￮　　　→　　　25cb:　○
ffef: ￯
